IWM: iShares Russell 2000 ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	61920400
Shares Outstanding: 306000000
Expense Ratio: 0.19%
Tracks This Index: Russell 2000 Index
ETF Database Category: Small Cap Blend Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IWM


Holding,Symbol,Weighting
"Shake Shack, Inc. Class A",SHAK,0.16%
Magnolia Oil & Gas Corp. Class A,MGY,0.16%
Portland General Electric Company,POR,0.16%
Knife River Corporation,KNF,0.16%
"Coca-Cola Consolidated, Inc.",COKE,0.16%
"Patterson-UTI Energy, Inc.",PTEN,0.16%
Lancaster Colony Corporation,LANC,0.16%
New Jersey Resources Corporation,NJR,0.16%
"Itron, Inc.",ITRI,0.16%
"Power Integrations, Inc.",POWI,0.16%
Glaukos Corp,GKOS,0.16%
"Exponent, Inc.",EXPO,0.16%
"Commvault Systems, Inc.",CVLT,0.16%
First Financial Bankshares Inc,FFIN,0.16%
"TriNet Group, Inc.",TNET,0.16%
"Advanced Energy Industries, Inc.",AEIS,0.15%
"M.D.C. Holdings, Inc.",MDC,0.15%
"Helmerich & Payne, Inc.",HP,0.15%
"Alight, Inc. Class A",ALIT,0.15%
Valaris Ltd.,VAL,0.15%
Radian Group Inc.,RDN,0.15%
Enstar Group Limited,ESGR,0.15%
"Essential Properties Realty Trust, Inc.",EPRT,0.15%
Otter Tail Corporation,OTTR,0.15%
Brookfield Infrastructure Corp. (New York) Class A,BIPC,0.15%
Kadant Inc.,KAI,0.15%
Brink\'s Company,BCO,0.15%
Neogen Corp,NEOG,0.15%
Evolent Health Inc Class A,EVH,0.15%
Hancock Whitney Corporation,HWC,0.15%
EnerSys,ENS,0.15%
"Matson, Inc.",MATX,0.15%
"BridgeBio Pharma, Inc.",BBIO,0.15%
Jackson Financial Incorporation Class A,JXN,0.15%
Insmed Incorporated,INSM,0.15%
Synaptics Incorporated,SYNA,0.15%
Terex Corporation,TEX,0.15%
"CymaBay Therapeutics, Inc.",CBAY,0.14%
Black Hills Corporation,BKH,0.14%
"Axcelis Technologies, Inc.",ACLS,0.14%
"Blackstone Mortgage Trust, Inc. Class A",BXMT,0.14%
"Amicus Therapeutics, Inc.",FOLD,0.14%
Cogent Communications Holdings Inc,CCOI,0.14%
Integer Holdings Corporation,ITGR,0.14%
"Box, Inc. Class A",BOX,0.14%
UMB Financial Corporation,UMBF,0.14%
"GMS, Inc.",GMS,0.14%
"Insperity, Inc.",NSP,0.14%
"Liberty Energy, Inc. Class A",LBRT,0.14%
"Madrigal Pharmaceuticals, Inc.",MDGL,0.14%
Macerich Company,MAC,0.14%
"iRhythm Technologies, Inc.",IRTC,0.14%
Encore Wire Corporation,WIRE,0.14%
"CSW Industrials, Inc.",CSWI,0.14%
Belden Inc.,BDC,0.14%
"Hilton Grand Vacations, Inc.",HGV,0.14%
"Alarm.com Holdings, Inc.",ALRM,0.14%
"CBIZ, Inc.",CBZ,0.14%
"Ormat Technologies, Inc.",ORA,0.14%
Sanmina Corporation,SANM,0.14%
PotlatchDeltic Corporation,PCH,0.14%
"Group 1 Automotive, Inc.",GPI,0.14%
Prestige Consumer Healthcare Inc,PBH,0.14%
Rapid7 Inc.,RPD,0.14%
"Amkor Technology, Inc.",AMKR,0.14%
California Resources Corp,CRC,0.14%
Valley National Bancorp,VLY,0.14%
Avient Corporation,AVNT,0.14%
WD-40 Company,WDFC,0.14%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.14%
"Dycom Industries, Inc.",DY,0.14%
Haemonetics Corporation,HAE,0.14%
"ACI Worldwide, Inc.",ACIW,0.14%
Iovance Biotherapeutics Inc,IOVA,0.14%
Apple Hospitality REIT Inc,APLE,0.14%
"Krystal Biotech, Inc.",KRYS,0.13%
"FormFactor, Inc.",FORM,0.13%
"Hillenbrand, Inc.",HI,0.13%
"ONE Gas, Inc.",OGS,0.13%
Korn Ferry,KFY,0.13%
Goodyear Tire & Rubber Company,GT,0.13%
Piper Sandler Companies,PIPR,0.13%
"M/I Homes, Inc.",MHO,0.13%
"Springworks Therapeutics, Inc.",SWTX,0.13%
ServisFirst Bancshares Inc,SFBS,0.13%
ArcBest Corporation,ARCB,0.13%
"Kontoor Brands, Inc.",KTB,0.13%
Biohaven Ltd.,BHVN,0.13%
"BlackLine, Inc.",BL,0.13%
Moelis & Co. Class A,MC,0.13%
"Cavco Industries, Inc.",CVCO,0.13%
"Sabra Health Care REIT, Inc.",SBRA,0.13%
CNX Resources Corporation,CNX,0.13%
"AeroVironment, Inc.",AVAV,0.13%
John Bean Technologies Corporation,JBT,0.13%
"Axonics, Inc.",AXNX,0.13%
Enpro Inc.,NPO,0.13%
"Tri Pointe Homes, Inc.",TPH,0.13%
"ALLETE, Inc.",ALE,0.13%
"Freshworks, Inc. Class A",FRSH,0.13%
Tidewater Inc,TDW,0.13%
Parsons Corporation,PSN,0.13%
"Resideo Technologies, Inc.",REZI,0.13%
"Independence Realty Trust, Inc.",IRT,0.13%
Associated Banc-Corp,ASB,0.13%
Adient plc,ADNT,0.13%
Simply Good Foods Co,SMPL,0.12%
McGrath RentCorp,MGRC,0.12%
Visteon Corporation,VC,0.12%
Helen of Troy Limited,HELE,0.12%
"NorthWestern Energy Group, Inc.",NWE,0.12%
"Sprout Social, Inc. Class A",SPT,0.12%
"Rush Enterprises, Inc. Class A",RUSHA,0.12%
"PNM Resources, Inc.",PNM,0.12%
"Arch Resources, Inc. Class A",ARCH,0.12%
SL Green Realty Corp.,SLG,0.12%
Flywire Corp.,FLYW,0.12%
"Steven Madden, Ltd.",SHOO,0.12%
Verra Mobility Corp. Class A,VRRM,0.12%
"Marqeta, Inc. Class A",MQ,0.12%
"Cactus, Inc. Class A",WHD,0.12%
"C3.ai, Inc. Class A",AI,0.12%
"CNO Financial Group, Inc.",CNO,0.12%
"Sterling Infrastructure, Inc.",STRL,0.12%
"Ziff Davis, Inc.",ZD,0.12%
Scorpio Tankers Inc.,STNG,0.12%
"Walker & Dunlop, Inc.",WD,0.12%
Griffon Corporation,GFF,0.12%
"Braze, Inc. Class A",BRZE,0.12%
LivaNova Plc,LIVN,0.12%
LCI Industries,LCII,0.12%
Ameris Bancorp,ABCB,0.12%
Innospec Inc.,IOSP,0.12%
"Northern Oil and Gas, Inc.",Other,0.12%
"Blackbaud, Inc.",BLKB,0.12%
"DigitalBridge Group, Inc. Class A",DBRG,0.12%
Carpenter Technology Corporation,CRS,0.12%
Spire Inc.,SR,0.12%
Diodes Incorporated,DIOD,0.12%
"Axsome Therapeutics, Inc.",AXSM,0.11%
Materion Corporation,MTRN,0.11%
PagSeguro Digital Ltd. Class A,PAGS,0.11%
Masonite International Corp.,DOOR,0.11%
"Red Rock Resorts, Inc. Class A",RRR,0.11%
COPT Defense Properties,CDP,0.11%
Cerevel Therapeutics Holdings Inc,CERE,0.11%
"Remitly Global, Inc.",RELY,0.11%
"InterDigital, Inc.",IDCC,0.11%
"Vishay Intertechnology, Inc.",VSH,0.11%
Kosmos Energy Ltd.,KOS,0.11%
"Progyny, Inc.",PGNY,0.11%
"Warrior Met Coal, Inc.",HCC,0.11%
International Bancshares Corporation,IBOC,0.11%
"TEGNA, Inc.",TGNA,0.11%
Select Medical Holdings Corporation,SEM,0.11%
"Axos Financial, Inc.",AX,0.11%
"Boot Barn Holdings, Inc.",BOOT,0.11%
Physicians Realty Trust,DOC,0.11%
Sensient Technologies Corporation,SXT,0.11%
Peabody Energy Corporation,BTU,0.11%
"United Community Banks, Inc.",UCBI,0.11%
"Foot Locker, Inc.",FL,0.11%
Quaker Houghton,KWR,0.11%
"ICF International, Inc.",ICFI,0.11%
"Broadstone Net Lease, Inc.",BNL,0.11%
"Hub Group, Inc. Class A",HUBG,0.11%
Tanger Inc.,SKT,0.11%
ABM Industries Incorporated,ABM,0.11%
International Game Technology PLC,IGT,0.11%
ACADIA Pharmaceuticals Inc.,ACAD,0.11%
"Texas Capital Bancshares, Inc.",TCBI,0.11%
"Beam Therapeutics, Inc.",BEAM,0.11%
Innovative Industrial Properties Inc,IIPR,0.11%
"Intellia Therapeutics, Inc.",NTLA,0.11%
Albany International Corp. Class A,AIN,0.11%
American States Water Company,AWR,0.1%
"Kulicke & Soffa Industries, Inc.",KLIC,0.1%
"Kratos Defense & Security Solutions, Inc.",KTOS,0.1%
MYR Group Inc.,MYRG,0.1%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,0.1%
Yelp Inc,YELP,0.1%
LXP Industrial Trust,LXP,0.1%
Credo Technology Group Holding Ltd.,CRDO,0.1%
Plexus Corp.,PLXS,0.1%
"Riot Platforms, Inc.",RIOT,0.1%
"RXO, Inc.",RXO,0.1%
"Strategic Education, Inc.",STRA,0.1%
"Cleanspark, Inc.",CLSK,0.1%
California Water Service Group,CWT,0.1%
Constellium SE Class A,CSTM,0.1%
Primo Water Corporation,PRMW,0.1%
"Inter Parfums, Inc.",IPAR,0.1%
"PJT Partners, Inc. Class A",PJT,0.1%
"Privia Health Group, Inc.",PRVA,0.1%
O-I Glass Inc,OI,0.1%
WSFS Financial Corporation,WSFS,0.1%
"Artisan Partners Asset Management, Inc. Class A",APAM,0.1%
First Bancorp,FBP,0.1%
Crinetics Pharmaceuticals Inc,CRNX,0.1%
UniFirst Corporation,UNF,0.1%
Uranium Energy Corp.,UEC,0.1%
"Impinj, Inc.",PI,0.1%
SITE Centers Corp.,SITC,0.1%
"IDEAYA Biosciences, Inc.",IDYA,0.1%
"Genworth Financial, Inc. Class A",GNW,0.1%
"Century Communities, Inc.",CCS,0.1%
"Patrick Industries, Inc.",PATK,0.1%
"Arcellx, Inc.",ACLX,0.1%
ESCO Technologies Inc.,ESE,0.1%
"Werner Enterprises, Inc.",WERN,0.1%
"Oscar Health, Inc. Class A",OSCR,0.1%
"TransMedics Group, Inc.",TMDX,0.1%
Avista Corporation,AVA,0.1%
"Inari Medical, Inc.",NARI,0.1%
"SkyWest, Inc",SKYW,0.1%
Graham Holdings Co. Class B,GHC,0.1%
"National Health Investors, Inc.",NHI,0.1%
"Q2 Holdings, Inc.",QTWO,0.1%
Cathay General Bancorp,CATY,0.1%
"Dorman Products, Inc.",DORM,0.1%
"BGC Group, Inc. Class A",BGC,0.1%
CONMED Corporation,CNMD,0.1%
"Frontdoor, Inc.",FTDR,0.1%
"NMI Holdings, Inc. Class A",NMIH,0.1%
"Stride, Inc.",LRN,0.1%
Archrock Inc.,AROC,0.1%
"Urban Outfitters, Inc.",URBN,0.1%
CONSOL Energy Inc,CEIX,0.1%
"PennyMac Financial Services, Inc.",PFSI,0.09%
"Sonos, Inc.",SONO,0.09%
Granite Construction Incorporated,GVA,0.09%
"LGI Homes, Inc.",LGIH,0.09%
Simmons First National Corporation Class A,SFNC,0.09%
Minerals Technologies Inc.,MTX,0.09%
"DigitalOcean Holdings, Inc.",DOCN,0.09%
Denali Therapeutics Inc.,DNLI,0.09%
"LiveRamp Holdings, Inc.",RAMP,0.09%
"Celldex Therapeutics, Inc.",CLDX,0.09%
Xerox Holdings Corporation,XRX,0.09%
"Cal-Maine Foods, Inc.",CALM,0.09%
"RadNet, Inc.",RDNT,0.09%
"Bloomin\' Brands, Inc.",BLMN,0.09%
"Envestnet, Inc.",ENV,0.09%
"TG Therapeutics, Inc.",TGTX,0.09%
"Shoals Technologies Group, Inc. Class A",SHLS,0.09%
"Perficient, Inc.",PRFT,0.09%
"Dave & Buster\'s Entertainment, Inc.",PLAY,0.09%
"EVERTEC, Inc.",EVTC,0.09%
CVB Financial Corp.,CVBF,0.09%
"Mueller Water Products, Inc. Class A",MWA,0.09%
Patterson Companies Incorporated,PDCO,0.09%
"First Interstate BancSystem, Inc.",FIBK,0.09%
"Arvinas, Inc.",ARVN,0.09%
Fulton Financial Corporation,FULT,0.09%
"Gibraltar Industries, Inc.",ROCK,0.09%
"Rhythm Pharmaceuticals, Inc.",RYTM,0.09%
AAR CORP.,AIR,0.09%
"MillerKnoll, Inc.",MLKN,0.09%
"Four Corners Property Trust, Inc.",FCPT,0.09%
Progress Software Corporation,PRGS,0.09%
Bancorp Inc,TBBK,0.09%
"Sunstone Hotel Investors, Inc.",SHO,0.09%
Twist Bioscience Corp.,TWST,0.09%
"Papa John\'s International, Inc.",PZZA,0.09%
"PGT Innovations, Inc.",PGTI,0.09%
"Nuvalent, Inc. Class A",NUVL,0.09%
"PagerDuty, Inc.",PD,0.09%
"MGE Energy, Inc.",MGEE,0.09%
"CareTrust REIT, Inc.",CTRE,0.09%
Atlantic Union Bankshares Corporation,AUB,0.09%
ePlus inc.,PLUS,0.09%
"ACV Auctions, Inc. Class A",ACVA,0.09%
MasterBrand Inc,MBC,0.09%
"Surgery Partners, Inc.",SGRY,0.09%
Sylvamo Corporation,SLVM,0.08%
"PriceSmart, Inc.",PSMT,0.08%
"Winnebago Industries, Inc.",WGO,0.08%
HNI Corporation,HNI,0.08%
"Banc of California, Inc.",BANC,0.08%
Hecla Mining Company,HL,0.08%
"CarGurus, Inc. Class A",CARG,0.08%
Urban Edge Properties,UE,0.08%
Bank of Hawaii Corp,BOH,0.08%
Rogers Corporation,ROG,0.08%
"Energizer Holdings, Inc.",ENR,0.08%
Seadrill Limited,SDRL,0.08%
Primoris Services Corporation,PRIM,0.08%
DiamondRock Hospitality Company,DRH,0.08%
"Guardant Health, Inc.",GH,0.08%
"NeoGenomics, Inc.",NEO,0.08%
"Community Bank System, Inc.",CBU,0.08%
Stepan Co,SCL,0.08%
Kennametal Inc.,KMT,0.08%
Verint Systems Inc.,VRNT,0.08%
Viavi Solutions Inc,VIAV,0.08%
Vericel Corporation,VCEL,0.08%
Alamo Group Inc.,ALG,0.08%
Textainer Group Holdings Limited,TGH,0.08%
"Cohen & Steers, Inc.",CNS,0.08%
Array Technologies Inc,ARRY,0.08%
Tennant Company,TNC,0.08%
TowneBank,TOWN,0.08%
Topgolf Callaway Brands Corp.,MODG,0.08%
"PTC Therapeutics, Inc.",PTCT,0.08%
Acushnet Holdings Corp.,GOLF,0.08%
JetBlue Airways Corporation,JBLU,0.08%
PROCEPT BioRobotics Corp.,PRCT,0.08%
"AMN Healthcare Services, Inc.",AMN,0.08%
"StepStone Group, Inc. Class A",STEP,0.08%
Independent Bank Corp.,INDB,0.08%
First Merchants Corporation,FRME,0.08%
"Trinity Industries, Inc.",TRN,0.08%
Edgewell Personal Care Co.,EPC,0.08%
BancFirst Corporation,BANF,0.08%
"AvidXchange Holdings, Inc.",AVDX,0.08%
Chesapeake Utilities Corporation,CPK,0.08%
"International Seaways, Inc.",INSW,0.08%
Coursera Inc,COUR,0.08%
"Ardelyx, Inc.",ARDX,0.08%
Par Pacific Holdings Inc,PARR,0.08%
Arbor Realty Trust Inc,ABR,0.08%
"Eastern Bankshares, Inc.",EBC,0.08%
Fox Factory Holding Corp.,FOXF,0.08%
"Brinker International, Inc.",EAT,0.08%
Adtalem Global Education Inc.,ATGE,0.08%
"OSI Systems, Inc.",OSIS,0.08%
Standex International Corporation,SXI,0.08%
OUTFRONT Media Inc.,OUT,0.08%
Central Garden & Pet Company Class A,CENTA,0.08%
J & J Snack Foods Corp.,JJSF,0.08%
CorVel Corporation,CRVL,0.08%
"Calix, Inc.",CALX,0.08%
Seacoast Banking Corporation of Florida,SBCF,0.08%
"Oceaneering International, Inc.",OII,0.08%
Golar LNG Limited,GLNG,0.08%
"Ambarella, Inc.",AMBA,0.08%
"Pacific Premier Bancorp, Inc.",PPBI,0.08%
Astrana Health Inc.,ASTH,0.07%
"CoreCivic, Inc.",CXW,0.07%
"Laureate Education, Inc.",LAUR,0.07%
Pebblebrook Hotel Trust,PEB,0.07%
"Owens & Minor, Inc.",OMI,0.07%
"Squarespace, Inc. Class A",SQSP,0.07%
Opendoor Technologies Inc,OPEN,0.07%
"Cinemark Holdings, Inc.",CNK,0.07%
"Construction Partners, Inc. Class A",ROAD,0.07%
Callon Petroleum Company,CPE,0.07%
"WesBanco, Inc.",WSBC,0.07%
StoneX Group Inc.,SNEX,0.07%
Enerpac Tool Group Corp Class A,EPAC,0.07%
Hillman Solutions Corp.,HLMN,0.07%
Barnes Group Inc.,B,0.07%
Hanesbrands Inc.,HBI,0.07%
"Triumph Financial, Inc.",TFIN,0.07%
"Powell Industries, Inc.",POWL,0.07%
RLJ Lodging Trust,RLJ,0.07%
"Worthington Enterprises, Inc.",WOR,0.07%
"Talos Energy, Inc.",TALO,0.07%
American Woodmark Corporation,AMWD,0.07%
"Virtus Investment Partners, Inc.",VRTS,0.07%
"CSG Systems International, Inc.",CSGS,0.07%
Equity Commonwealth,EQC,0.07%
"IonQ, Inc.",IONQ,0.07%
Veracyte Inc,VCYT,0.07%
"Agios Pharmaceuticals, Inc.",AGIO,0.07%
Ingevity Corporation,NGVT,0.07%
"Fastly, Inc. Class A",FSLY,0.07%
"Ultra Clean Holdings, Inc.",UCTT,0.07%
Bloom Energy Corporation Class A,BE,0.07%
Veeco Instruments Inc.,VECO,0.07%
United Parks & Resorts Inc.,PRKS,0.07%
ODP Corporation,ODP,0.07%
"TreeHouse Foods, Inc.",THS,0.07%
Cimpress Plc,CMPR,0.07%
Sitio Royalties Corp. Class A,STR,0.07%
Vista Outdoor Inc,VSTO,0.07%
AZZ Inc.,AZZ,0.07%
Six Flags Entertainment Corporation,SIX,0.07%
"National Vision Holdings, Inc.",EYE,0.07%
"Photronics, Inc.",PLAB,0.07%
La-Z-Boy Incorporated,LZB,0.07%
"Andersons, Inc.",ANDE,0.07%
Tronox Holdings Plc,TROX,0.07%
"Amphastar Pharmaceuticals, Inc.",AMPH,0.07%
InMode Ltd.,INMD,0.07%
Corcept Therapeutics Incorporated.,CORT,0.07%
SJW Group,SJW,0.07%
"BankUnited, Inc.",BKU,0.07%
Enova International Inc,ENVA,0.07%
JBG SMITH Properties,JBGS,0.07%
"Upstart Holdings, Inc.",UPST,0.07%
"Protagonist Therapeutics, Inc.",PTGX,0.07%
"Mirion Technologies, Inc. Class A",MIR,0.07%
First Financial Bancorp.,FFBC,0.07%
Atlanta Braves Holdings Inc Class C,BATRK,0.07%
"Recursion Pharmaceuticals, Inc. Class A",RXRX,0.07%
"H&E Equipment Services, Inc.",HEES,0.07%
St. Joe Company,JOE,0.07%
"Myriad Genetics, Inc.",MYGN,0.07%
"BRP Group, Inc. Class A",BRP,0.07%
Cheesecake Factory Incorporated,CAKE,0.07%
Huron Consulting Group Inc.,HURN,0.07%
Delek US Holdings Inc,DK,0.07%
"Xenia Hotels & Resorts, Inc.",XHR,0.07%
"Upbound Group, Inc.",UPBD,0.07%
"Palomar Holdings, Inc.",PLMR,0.07%
InvenTrust Properties Corp,IVT,0.07%
Gentherm Incorporated,THRM,0.07%
"OPENLANE, Inc.",KAR,0.07%
Park National Corporation,PRK,0.07%
"Rocket Pharmaceuticals, Inc.",RCKT,0.07%
Federal Agricultural Mortgage Corporation Class C,AGM,0.07%
Immunovant Inc,IMVT,0.07%
"Beyond, Inc.",BYON,0.06%
"AtriCure, Inc.",ATRC,0.06%
"Cannae Holdings, Inc.",CNNE,0.06%
Lions Gate Entertainment Corp Class A,LGF.A,0.06%
"Donnelley Financial Solutions, Inc.",DFIN,0.06%
STAAR Surgical Company,STAA,0.06%
"NetScout Systems, Inc.",NTCT,0.06%
Hilltop Holdings Inc.,HTH,0.06%
Compass Diversified Holdings,CODI,0.06%
"Green Brick Partners, Inc.",GRBK,0.06%
"ACM Research, Inc. Class A",ACMR,0.06%
"Vera Therapeutics, Inc. Class A",VERA,0.06%
GEO Group Inc,GEO,0.06%
"Cohu, Inc.",COHU,0.06%
"Dillard\'s, Inc. Class A",DDS,0.06%
"Joby Aviation, Inc.",JOBY,0.06%
"MaxLinear, Inc.",MXL,0.06%
Syndax Pharmaceuticals Inc,SNDX,0.06%
Knowles Corp.,KN,0.06%
DNOW Inc.,DNOW,0.06%
"Supernus Pharmaceuticals, Inc.",SUPN,0.06%
Appian Corporation Class A,APPN,0.06%
Stewart Information Services Corporation,STC,0.06%
"Upwork, Inc.",UPWK,0.06%
"Apollo Commercial Real Estate Finance, Inc.",ARI,0.06%
"Telephone and Data Systems, Inc.",TDS,0.06%
"Greenbrier Companies, Inc.",GBX,0.06%
Gulfport Energy Corp,GPOR,0.06%
Navient Corp,NAVI,0.06%
Bank of N.T. Butterfield & Son Limited (The),NTB,0.06%
"Oxford Industries, Inc.",OXM,0.06%
"Clear Secure, Inc. Class A",YOU,0.06%
"TTM Technologies, Inc.",TTMI,0.06%
"Lumen Technologies, Inc.",LUMN,0.06%
"Keros Therapeutics, Inc.",KROS,0.06%
"Customers Bancorp, Inc.",CUBI,0.06%
Madison Square Garden Entertainment Corp.,MSGE,0.06%
SiTime Corporation,SITM,0.06%
Renasant Corporation,RNST,0.06%
"Newmark Group, Inc. Class A",NMRK,0.06%
"Independent Bank Group, Inc.",IBTX,0.06%
"U.S. Physical Therapy, Inc.",USPH,0.06%
World Kinect Corporation,WKC,0.06%
"Goosehead Insurance, Inc. Class A",GSHD,0.06%
OFG Bancorp,OFG,0.06%
"WaFd, Inc.",WAFD,0.06%
"Catalyst Pharmaceuticals, Inc.",CPRX,0.06%
Lakeland Financial Corporation,LKFN,0.06%
Greif Inc Class A,GEF,0.06%
Enterprise Financial Services Corp,EFSC,0.06%
"DHT Holdings, Inc.",DHT,0.06%
Dana Incorporated,DAN,0.06%
Expro Group Holdings N.V.,XPRO,0.06%
SFL Corporation Limited,SFL,0.06%
"Cracker Barrel Old Country Store, Inc.",CBRL,0.06%
"Leonardo DRS, Inc.",DRS,0.06%
Retail Opportunity Investments Corp.,ROIC,0.06%
Banner Corporation,BANR,0.06%
Golden Ocean Group Ltd,GOGL,0.06%
Global Net Lease Inc,GNL,0.06%
"NAPCO Security Technologies, Inc.",NSSC,0.06%
"Helios Technologies, Inc.",HLIO,0.06%
EchoStar Corporation Class A,SATS,0.06%
Addus HomeCare Corporation,ADUS,0.06%
"Kymera Therapeutics, Inc.",KYMR,0.06%
"Kura Oncology, Inc.",KURA,0.06%
Vector Group Ltd.,VGR,0.06%
Jack in the Box Inc.,JACK,0.06%
"Magnite, Inc.",MGNI,0.06%
